English Name of Language,ISO 639-2 Code,Script Code
Afar,aar,Latn
Abkhazian,abk,Cyrl
Achinese,ace,Latn
Acoli,ach,Latn
Adangme,ada,Latn
Adyghe,ady,Cyrl
Adygei,ady,N/A
Afro-Asiatic languages,afa,N/A
Afrihili,afh,N/A
Afrikaans,afr,Latn
Ainu,ain,N/A
Akan,aka,Latn
Akkadian,akk,N/A
Albanian,alb,Latn
Aleut,ale,Latn
Algonquian languages,alg,N/A
Southern Altai,alt,Cyrl
Amharic,amh,Ethi
"English, Old (ca.450-1100)",ang,N/A
Angika,anp,Deva
Apache languages,apa,N/A
Arabic,ara,Arab
Official Aramaic (700-300 BCE),arc,N/A
Imperial Aramaic (700-300 BCE),arc,N/A
Aragonese,arg,Latn
Armenian,arm,Armn
Mapudungun,arn,N/A
Mapuche,arn,Latn
Arapaho,arp,Latn
Artificial languages,art,N/A
Arawak,arw,N/A
Assamese,asm,Beng
Asturian,ast,Latn
Bable,ast,N/A
Leonese,ast,N/A
Asturleonese,ast,N/A
Athapascan languages,ath,N/A
Australian languages,aus,N/A
Avaric,ava,Cyrl
Avestan,ave,N/A
Awadhi,awa,Deva
Aymara,aym,Latn
Azerbaijani,aze,Arab
Banda languages,bad,N/A
Bamileke languages,bai,N/A
Bashkir,bak,Cyrl
Baluchi,bal,Arab
Bambara,bam,Latn
Balinese,ban,Latn
Basque,baq,Latn
Basa,bas,N/A
Baltic languages,bat,N/A
Beja,bej,Arab
Bedawiyet,bej,N/A
Belarusian,bel,Cyrl
Bemba,bem,Latn
Bengali,ben,N/A
Berber languages,ber,N/A
Bhojpuri,bho,Deva
Bihari languages,bih,N/A
Bikol,bik,Latn
Bini,bin,Latn
Edo,bin,N/A
Bislama,bis,Latn
Siksika,bla,Latn
Bantu languages,bnt,N/A
Tibetan,tib,Tibt
Bosnian,bos,Cyrl
Braj,bra,Deva
Breton,bre,Latn
Batak languages,btk,N/A
Buriat,bua,Cyrl
Buginese,bug,Latn
Bulgarian,bul,Cyrl
Burmese,bur,Mymr
Blin,byn,Ethi
Bilin,byn,N/A
Caddo,cad,Latn
Central American Indian languages,cai,N/A
Galibi Carib,car,N/A
Catalan,cat,Latn
Valencian,cat,N/A
Caucasian languages,cau,N/A
Cebuano,ceb,Latn
Celtic languages,cel,N/A
Czech,cze,Latn
Chamorro,cha,Latn
Chibcha,chb,N/A
Chechen,che,Cyrl
Chagatai,chg,N/A
Chinese,chi,Hans
Chuukese,chk,Latn
Mari,chm,Cyrl
Chinook jargon,chn,N/A
Choctaw,cho,Latn
Chipewyan,chp,Latn
Dene Suline,chp,N/A
Cherokee,chr,Cher
Church Slavic,chu,N/A
Old Slavonic,chu,N/A
Church Slavonic,chu,N/A
Old Bulgarian,chu,N/A
Old Church Slavonic,chu,N/A
Chuvash,chv,Cyrl
Cheyenne,chy,Latn
Chamic languages,cmc,N/A
Montenegrin,cnr,N/A
Coptic,cop,N/A
Cornish,cor,Latn
Corsican,cos,Latn
"Creoles and pidgins, English based",cpe,N/A
"Creoles and pidgins, French-based",cpf,N/A
"Creoles and pidgins, Portuguese-based",cpp,N/A
Cree,cre,Cans
Crimean Tatar,crh,N/A
Crimean Turkish,crh,Cyrl
Creoles and pidgins,crp,N/A
Kashubian,csb,N/A
Cushitic languages,cus,N/A
Welsh,wel,Latn
,cym,N/A
Czech,cze,Latn
,ces,N/A
Dakota,dak,Latn
Danish,dan,Latn
Dargwa,dar,Cyrl
Land Dayak languages,day,N/A
Delaware,del,Latn
Slave (Athapascan),den,N/A
German,ger,Latn
Dogrib,dgr,Latn
Dinka,din,Latn
Divehi,div,Thaa
Dhivehi,div,N/A
Maldivian,div,N/A
Dogri,doi,Arab
Dravidian languages,dra,N/A
Lower Sorbian,dsb,Latn
Duala,dua,Latn
"Dutch, Middle (ca.1050-1350)",dum,N/A
Dutch,dut,Latn
Flemish,dut,N/A
Dyula,dyu,Latn
Dzongkha,dzo,Tibt
Efik,efi,Latn
Egyptian (Ancient),egy,N/A
Ekajuk,eka,Latn
Greek,gre,Grek
Elamite,elx,N/A
English,eng,Latn
"English, Middle (1100-1500)",enm,N/A
Esperanto,epo,Latn
Estonian,est,Latn
Basque,baq,Latn
Ewe,ewe,Latn
Ewondo,ewo,Latn
Fang,fan,Latn
Faroese,fao,Latn
Persian,per,Arab
Fanti,fat,N/A
Fijian,fij,Latn
Filipino,fil,Latn
Pilipino,fil,N/A
Finnish,fin,Latn
Finno-Ugrian languages,fiu,N/A
Fon,fon,Latn
French,fre,Latn
French,fre,Latn
"French, Middle (ca.1400-1600)",frm,N/A
"French, Old (842-ca.1400)",fro,N/A
Northern Frisian,frr,Latn
Eastern Frisian,frs,Latn
Western Frisian,fry,Latn
Fulah,ful,Latn
Friulian,fur,Latn
Ga,gaa,Latn
Gayo,gay,Latn
Gbaya,gba,Latn
Germanic languages,gem,N/A
Georgian,geo,Geor
German,ger,Latn
Ethiopic,gez,N/A
Gilbertese,gil,Latn
Gaelic,gla,N/A
Scottish Gaelic,gla,Latn
Irish,gle,Latn
Galician,glg,Latn
Manx,glv,Latn
"German, Middle High (ca.1050-1500)",gmh,N/A
"German, Old High (ca.750-1050)",goh,N/A
Gondi,gon,Deva
Gorontalo,gor,Latn
Gothic,got,N/A
Grebo,grb,Latn
"Greek, Ancient (to 1453)",grc,N/A
Greek (modern),gre,Grek
Guarani,grn,Latn
Swiss German,gsw,Latn
Alemannic,gsw,N/A
Alsatian,gsw,N/A
Gujarati,guj,Gujr
Gwich'in,gwi,N/A
Haida,hai,Latn
Haitian,hat,N/A
Haitian Creole,hat,Latn
Hausa,hau,Arab
Hawaiian,haw,Latn
Hebrew,heb,Hebr
Herero,her,Latn
Hiligaynon,hil,Latn
Himachali languages,him,N/A
Western Pahari languages,him,N/A
Hindi,hin,Deva
Hittite,hit,N/A
Hmong,hmn,Latn
Mong,hmn,N/A
Hiri Motu,hmo,Latn
Croatian,hrv,Latn
Upper Sorbian,hsb,Latn
Hungarian,hun,Latn
Hupa,hup,Latn
Armenian,arm,Armn
Iban,iba,Latn
Igbo,ibo,Latn
Icelandic,ice,Latn
Ido,ido,N/A
Sichuan Yi,iii,Yiii
Nuosu,iii,N/A
Ijo languages,ijo,N/A
Inuktitut,iku,Cans
Interlingue,ile,N/A
Occidental,ile,N/A
Iloko,ilo,Latn
Interlingua (International Auxiliary Language Association),ina,N/A
Indic languages,inc,N/A
Indonesian,ind,Latn
Indo-European languages,ine,N/A
Ingush,inh,Cyrl
Inupiaq,ipk,Latn
Iranian languages,ira,N/A
Iroquoian languages,iro,N/A
Icelandic,ice,Latn
,isl,N/A
Italian,ita,Latn
Javanese,jav,Latn
Lojban,jbo,N/A
Japanese,jpn,Hrkt
Judeo-Persian,jpr,Hebr
Judeo-Arabic,jrb,Hebr
Kara-Kalpak,kaa,Cyrl
Kabyle,kab,Latn
Kachin,kac,Latn
Jingpho,kac,N/A
Kalaallisut,kal,Latn
Greenlandic,kal,N/A
Kamba,kam,Latn
Kannada,kan,Knda
Karen languages,kar,N/A
Kashmiri,kas,Arab
Georgian,geo,Geor
Kanuri,kau,Latn
Kawi,kaw,N/A
Kazakh,kaz,Arab
Kabardian,kbd,Cyrl
Khasi,kha,Latn
Khoisan languages,khi,N/A
Central Khmer,khm,N/A
Khotanese,kho,N/A
Sakan,kho,N/A
Kikuyu,kik,Latn
Gikuyu,kik,N/A
Kinyarwanda,kin,Latn
Kirghiz,kir,N/A
Kyrgyz,kir,Arab
Kimbundu,kmb,Latn
Konkani,kok,Deva
Komi,kom,Cyrl
Kongo,kon,Latn
Korean,kor,Kore
Kosraean,kos,Latn
Kpelle,kpe,Latn
Karachay-Balkar,krc,Cyrl
Karelian,krl,Latn
Kru languages,kro,N/A
Kurukh,kru,Deva
Kuanyama,kua,Latn
Kwanyama,kua,N/A
Kumyk,kum,Cyrl
Kurdish,kur,Arab
Kutenai,kut,Latn
Ladino,lad,Hebr
Lahnda,lah,Arab
Lamba,lam,Latn
Lao,lao,Laoo
Latin,lat,Latn
Latvian,lav,Latn
Lezghian,lez,Cyrl
Limburgan,lim,N/A
Limburger,lim,N/A
Limburgish,lim,Latn
Lingala,lin,Latn
Lithuanian,lit,Latn
Mongo,lol,Latn
Lozi,loz,Latn
Luxembourgish,ltz,Latn
Letzeburgesch,ltz,N/A
Luba-Lulua,lua,Latn
Luba-Katanga,lub,Latn
Ganda,lug,Latn
Luiseno,lui,N/A
Lunda,lun,Latn
Luo (Kenya and Tanzania),luo,N/A
Lushai,lus,N/A
Macedonian,mac,Cyrl
,mkd,N/A
Madurese,mad,Latn
Magahi,mag,Deva
Marshallese,mah,Latn
Maithili,mai,Deva
Makasar,mak,Latn
Malayalam,mal,Mlym
Mandingo,man,Latn
Maori,mao,Latn
Austronesian languages,map,N/A
Marathi,mar,Deva
Masai,mas,Latn
Malay,may,Arab
Moksha,mdf,Cyrl
Mandar,mdr,Latn
Mende,men,Latn
"Irish, Middle (900-1200)",mga,N/A
Mi'kmaq,mic,Latn
Micmac,mic,N/A
Minangkabau,min,Latn
Uncoded languages,mis,N/A
Macedonian,mac,Cyrl
Mon-Khmer languages,mkh,N/A
Malagasy,mlg,Latn
Maltese,mlt,Latn
Manchu,mnc,N/A
Manipuri,mni,Beng
Manobo languages,mno,N/A
Mohawk,moh,Latn
Mongolian,mon,Cyrl
Mossi,mos,Latn
Maori,mao,Latn
Malay,may,Arab
Multiple languages,mul,N/A
Munda languages,mun,N/A
Creek,mus,Latn
Mirandese,mwl,Latn
